Levels
Intel core i5-650 Desktop Processor
Intel Core i3-4160 Desktop Processor
AMD A6-7480 Desktop Processor
DDR4-4400
DDR4-3600
DDR4-3200
Linux
Windows
macOS
HDD
SSD
